faction_a_key,faction_b_key,faction_a_name,faction_b_name,previous_included,current_included,change,previous_proximity,current_proximity,previous_diplomacy,current_diplomacy,geographic_distance,reason
wh3_main_ogr_disciples_of_the_maw,wh_dlc05_wef_argwylon,Disciples of the Maw,Argwylon,True,True,retained,Regional,Regional,Workable,Workable,85.019751,Within 100 units with neighboring provinces or at most four raster borders
wh3_main_ogr_disciples_of_the_maw,wh_dlc05_wef_wood_elves,Disciples of the Maw,Talsyn,True,False,removed,Regional,Extended,Workable,Workable,106.985498,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 world units)
wh3_main_ogr_disciples_of_the_maw,wh_main_brt_carcassonne,Disciples of the Maw,Carcassonne,True,False,removed,Regional,Extended,Workable,Workable,124.314057,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 world units)
wh3_main_ogr_disciples_of_the_maw,wh_main_dwf_dwarfs,Disciples of the Maw,Karaz-a-Karak,True,True,retained,Regional,Regional,Workable,Workable,76.971814,Within 100 units with neighboring provinces or at most four raster borders
wh3_main_ogr_disciples_of_the_maw,wh_main_dwf_karak_izor,Disciples of the Maw,Clan Angrund,True,True,retained,Regional,Regional,Workable,Workable,81.390482,Within 100 units with neighboring provinces or at most four raster borders
wh3_main_ogr_disciples_of_the_maw,wh_main_emp_wissenland,Disciples of the Maw,Wissenland & Nuln,True,True,retained,Regional,Regional,Workable,Workable,81.940595,Within 100 units with neighboring provinces or at most four raster borders
wh3_main_ogr_disciples_of_the_maw,wh_main_vmp_schwartzhafen,Disciples of the Maw,Sylvania,False,True,added,,Regional,,Workable,95.660254,Within 100 units with neighboring provinces or at most four raster borders
wh3_main_ogr_goldtooth,wh3_main_vmp_caravan_of_blue_roses,Goldtooth,Caravan of Blue Roses,True,True,retained,Regional,Regional,Workable,Workable,49.853965,Within 100 units with neighboring provinces or at most four raster borders
wh3_main_ogr_goldtooth,wh_main_grn_greenskins,Goldtooth,Grimgor's 'Ardboyz,True,True,retained,Extended,Extended,Workable,Workable,141.555862,Shared atlas theater and either at most six raster borders or at most 75 world units
wh_dlc05_wef_argwylon,wh_dlc05_wef_wood_elves,Argwylon,Talsyn,True,True,retained,Regional,Regional,Workable,Workable,63.026862,Within 100 units with neighboring provinces or at most four raster borders
wh_dlc05_wef_argwylon,wh_main_brt_carcassonne,Argwylon,Carcassonne,True,True,retained,Regional,Regional,Workable,Workable,73.810899,Within 100 units with neighboring provinces or at most four raster borders
wh_dlc05_wef_argwylon,wh_main_dwf_dwarfs,Argwylon,Karaz-a-Karak,False,True,added,,Extended,,Workable,149.760684,Shared atlas theater and either at most six raster borders or at most 75 world units
wh_dlc05_wef_argwylon,wh_main_dwf_karak_izor,Argwylon,Clan Angrund,True,True,retained,Regional,Regional,Workable,Workable,80.678213,Within 100 units with neighboring provinces or at most four raster borders
wh_dlc05_wef_argwylon,wh_main_emp_empire,Argwylon,Reikland,True,True,retained,Regional,Regional,Workable,Workable,40.111694,Within 100 units with neighboring provinces or at most four raster borders
wh_dlc05_wef_argwylon,wh_main_emp_wissenland,Argwylon,Wissenland & Nuln,True,True,retained,Regional,Regional,Workable,Workable,21.209392,Within 100 units with neighboring provinces or at most four raster borders
wh_dlc05_wef_wood_elves,wh_main_brt_bretonnia,Talsyn,Couronne,False,True,added,,Extended,,Workable,127.062241,Shared atlas theater and either at most six raster borders or at most 75 world units
wh_dlc05_wef_wood_elves,wh_main_brt_carcassonne,Talsyn,Carcassonne,True,True,retained,Immediate,Immediate,Workable,Workable,17.385992,Same province or adjacent starts within 100 world units
wh_dlc05_wef_wood_elves,wh_main_dwf_karak_izor,Talsyn,Clan Angrund,True,True,retained,Regional,Immediate,Workable,Workable,43.683457,Same province or adjacent starts within 100 world units
wh_dlc05_wef_wood_elves,wh_main_emp_wissenland,Talsyn,Wissenland & Nuln,True,False,removed,Regional,Extended,Workable,Workable,83.750531,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 world units)
wh_dlc08_nor_norsca,wh_dlc08_nor_wintertooth,World Walkers,Wintertooth,True,False,removed,Extended,Distant,Clean,Clean,449.229143,"Outside frozen geographic envelope; topology/theaters use descriptive coastal anchors, not a verified sea route"
wh_main_brt_bretonnia,wh_main_brt_carcassonne,Couronne,Carcassonne,True,True,retained,Extended,Extended,Clean,Clean,121.091715,Shared atlas theater and either at most six raster borders or at most 75 world units
wh_main_brt_bretonnia,wh_main_emp_empire,Couronne,Reikland,True,True,retained,Regional,Regional,Clean,Clean,86.370305,Within 100 units with neighboring provinces or at most four raster borders
wh_main_brt_carcassonne,wh_main_dwf_karak_izor,Carcassonne,Clan Angrund,True,True,retained,Regional,Immediate,Clean,Clean,58.242906,Same province or adjacent starts within 100 world units
wh_main_dwf_dwarfs,wh_main_dwf_karak_kadrin,Karaz-a-Karak,Karak Kadrin,True,True,retained,Regional,Regional,Clean,Clean,74.883335,Within 100 units with neighboring provinces or at most four raster borders
wh_main_dwf_karak_izor,wh_main_emp_wissenland,Clan Angrund,Wissenland & Nuln,False,True,added,,Regional,,Clean,96.459329,Within 100 units with neighboring provinces or at most four raster borders
wh_main_emp_empire,wh_main_emp_wissenland,Reikland,Wissenland & Nuln,True,True,retained,Regional,Regional,Clean,Clean,30.739201,Within 100 units with neighboring provinces or at most four raster borders
wh_main_grn_crooked_moon,wh_main_vmp_schwartzhafen,Crooked Moon,Sylvania,True,True,retained,Regional,Regional,Workable,Workable,70.051189,Within 100 units with neighboring provinces or at most four raster borders
wh_main_grn_orcs_of_the_bloody_hand,wh_main_vmp_vampire_counts,The Bloody Handz,The Drakenhof Conclave,True,True,retained,Regional,Regional,Workable,Workable,52.521752,Within 100 units with neighboring provinces or at most four raster borders
